Order, Astronaut, Date, Mission
, John Phillips, 2001-04-19, STS-100
383, Dennis Tito, 2001-04-28, Soyuz TM-32
384, Charles Hobaugh, 2001-07-12, STS-104
385, Patrick Forrester, 2001-08-10, STS-105
, Mikhail Tyurin, 2001-08-10, STS-105
387, Konstantin Kozeyev, 2001-10-21, Soyuz TM-33
388, Mark Kelly, 2001-12-05, STS-108
, Daniel Tani, 2001-12-05, STS-108
390, Duane Carey, 2002-03-01, STS-109
, Michael Massimino, 2002-03-01, STS-109
392, Stephen Frick, 2002-04-08, STS-110
, Lee Morin, 2002-04-08, STS-110
, Rex Walheim, 2002-04-08, STS-110
395, Mark Shuttleworth, 2002-04-25, Soyuz TM-34
, Roberto Vittori, 2002-04-25, Soyuz TM-34
397, Paul Lockhart, 2002-06-05, STS-111
, Philippe Perrin, 2002-06-05, STS-111
, Sergei Treschev, 2002-06-05, STS-111
, Peggy Whitson, 2002-06-05, STS-111
401, Sandra Magnus, 2002-10-07, STS-112
, Piers Sellers, 2002-10-07, STS-112
, Fyodor Yurchikhin, 2002-10-07, STS-112
404, Frank De Winne, 2002-10-30, Soyuz TMA-1
405, John Herrington, 2002-11-24, STS-113
, Donald Pettit, 2002-11-24, STS-113
407, David Brown, 2003-01-16, STS-107
, Laurel Clark, 2003-01-16, STS-107
, William McCool, 2003-01-16, STS-107
, Ilan Ramon, 2003-01-16, STS-107
411, Yang Liwei, 2003-10-15, ShenZhou 5
412, Edward Fincke, 2004-04-19, Soyuz TMA-4
, André Kuipers, 2004-04-19, Soyuz TMA-4
414, Michael Melvill, 2004-06-21, SpaceShipOne 15P
415, Brian Binnie, 2004-10-04, SpaceShipOne 17P
416, Yuri Shargin, 2004-10-14, Soyuz TMA-5
417, Charles Camarda, 2005-07-26, STS-114
, Soichi Noguchi, 2005-07-26, STS-114
419, Gregory Olsen, 2005-10-01, Soyuz TMA-7
420, Fei Junlong, 2005-10-12, ShenZhou 6
, Nie Haisheng, 2005-10-12, ShenZhou 6
422, Marcos Pontes, 2006-03-30, Soyuz TMA-8
423, Michael Fossum, 2006-07-04, STS-121
, Lisa Nowak, 2006-07-04, STS-121
, Stephanie Wilson, 2006-07-04, STS-121
426, Christopher Ferguson, 2006-09-09, STS-115
, Heidemarie Stefanyshyn-Piper, 2006-09-09, STS-115
428, Anousheh Ansari, 2006-09-18, Soyuz TMA-9
429, Christer Fuglesang, 2006-12-10, STS-116
, Joan Higginbotham, 2006-12-10, STS-116
, William Oefelein, 2006-12-10, STS-116
, Nicholas Patrick, 2006-12-10, STS-116
, Sunita Williams, 2006-12-10, STS-116
434, Oleg Kotov, 2007-04-07, Soyuz TMA-10
, Charles Simonyi, 2007-04-07, Soyuz TMA-10
436, Clayton Anderson, 2007-06-08, STS-117
, Lee Archambault, 2007-06-08, STS-117
, John Olivas, 2007-06-08, STS-117
, Steven Swanson, 2007-06-08, STS-117
440, Tracy Caldwell-Dyson, 2007-08-08, STS-118
, Benjamin Drew, 2007-08-08, STS-118
, Barbara Morgan, 2007-08-08, STS-118
443, Sheikh Muszaphar, 2007-10-10, Soyuz TMA-11
444, Paolo Nespoli, 2007-10-23, STS-120
, Douglas Wheelock, 2007-10-23, STS-120
, George Zamka, 2007-10-23, STS-120
447, Stanley Love, 2008-02-07, STS-122
, Leland Melvin, 2008-02-07, STS-122
, Alan Poindexter, 2008-02-07, STS-122
450, Robert Behnken, 2008-03-11, STS-123
, Michael Foreman, 2008-03-11, STS-123
, Gregory H. Johnson, 2008-03-11, STS-123
, Garrett Reisman, 2008-03-11, STS-123
454, Oleg D. Kononenko, 2008-04-08, Soyuz TMA-12
, Sergey Volkov, 2008-04-08, Soyuz TMA-12
, Yi So-yeon, 2008-04-08, Soyuz TMA-12
